CropTyp
alfalfa hay
alfalfa seed
alfalfa/grass hay
alkali bee bed
allium
apple
apricot
artichoke
asparagus
barley
barley hay
bean seed
"bean, dry"
"bean, garbanzo"
"bean, green"
beet seed
"berry, unknown"
blueberry
bluegrass seed
broccoli
bromegrass seed
brussels sprouts
brussels sprouts seed
buckwheat
cabbage
cabbage seed
camelina
caneberry
canola
cantaloupe
carrot
carrot seed
cauliflower
"cereal grain, unknown"
cherry
chestnut
chickpea
christmas tree
cilantro seed
clover hay
clover seed
clover/grass hay
conifer seed
corn seed
"corn, field"
"corn, sweet"
"corn, unknown"
cranberry
crp/conservation
cucumber
currant
daffodil
dahlia
developed
dill
driving range
fallow
"fallow, idle"
"fallow, tilled"
fescue seed
filbert
flax
flax seed
garlic
golf course
"grape, juice"
"grape, table"
"grape, unknown"
"grape, wine"
grass hay
grass seed
"grass seed, other"
green manure
"hay/silage, unknown"
hemp
"herb, unknown"
hops
iris
kale
kiwi
leek
legume cover
lentil
lettuce
marijuana
market crops
medicinal herb
"melon, unknown"
mint
mustard
mustard seed
nectarine/peach
"nursery, caneberry"
"nursery, greenhouse"
"nursery, holly"
"nursery, lavender"
"nursery, lilac"
"nursery, orchard/vineyard"
"nursery, ornamental"
"nursery, silviculture"
oat
oat hay
onion
onion seed
"orchard, unknown"
parsley
pasture
pea seed
"pea, dry"
"pea, green"
pea/vetch
pear
peony
pepper
plum
poplar
potato
potato seed
pumpkin
quinoa
radish
radish seed
reclamation seed
research station
rhubarb
rosemary
rutabaga
rye
rye hay
ryegrass seed
safflower seed
"seed, other"
"seed, unknown"
shellfish
silviculture
sod farm
sorghum
soybean
spinach
spinach seed
squash
strawberry
sudangrass
sugar beet
sugar beet seed
sunflower
sunflower seed
swiss chard seed
tarragon
tea
timothy
tobacco
tomato
triticale
triticale hay
tulip
unknown
"vegetable, unknown"
walnut
watermelon
wheat
wheat fallow
wildlife feed
yarrow seed
yellow mustard
